catnr;catnrstring;bez_de;bez_en;bez_fr;bez_ru
90034600;90034600;"19"" Eckwinkel S.77 chromatiert";"19"" mount. brack. series 77, 4";Equerre Sér77, 4U, alod,+ tr p;"19"" mount. brack. series 77, 4"
90036100;90036100;"19"" Eckwinkel S.77 eloxiert 6H";"19""-mounting bracket S.77 6U,";Equerre Sér77, 6U, anod.,ss tr;"19""-mounting bracket S.77 6U,"
90036200;90036200;"19"" Eckwinkel S.77 eloxiert 6H";Corner Bracket Series 77, 6U,;Equerre Sér77, 6U, anod.,+ tr;Corner Bracket Series 77, 6U,
90036300;90036300;"19"" Eckwinkel S.77 RAL7032 6HE";Corner Bracket Series 77, 6U,;Equerre Sér77, 6U, RAL7032,ss;Corner Bracket Series 77, 6U,
90036400;90036400;"19"" Eckwinkel S.77 RAL7032 6HE";"19""mount Bracket Series 77, 6U";Equerre Sér77, 6U, RAL7032,+ t;"19""mount Bracket Series 77, 6U"
90036500;90036500;"19"" Eckwinkel S.77 chromatiert";"19""-mounting bracket S.77, 6U,";Equerre Sér77, 6U, alod,ss tr;"19""-mounting bracket S.77, 6U,"
90036600;90036600;"19"" Eckwinkel S.77 chromatiert";Corner Bracket Series 77, 6U,;Equerre Sér77, 6U, alod,+ tr p;Corner Bracket Series 77, 6U,
90039100;90039100;"19"" Eckwinkel S.77 eloxiert 9H";Corner Bracket Series 77, 9U,;Equerre Sér77, 9U, anod.,ss tr;Corner Bracket Series 77, 9U,
90039200;90039200;"19"" Eckwinkel S.77 eloxiert 9H";Corner Bracket Series 77, 9U,;Equerre Sér77, 9U, anod.,+ tr;Corner Bracket Series 77, 9U,
90039500;90039500;"19"" Eckwinkel S.77 chromatiert";"19"" Bracket Series 77, 9U, Alo";Equerre Sér77, 9U, alod,ss tr;"19"" Bracket Series 77, 9U, Alo"
90039600;90039600;"19"" Eckwinkel S.77 chromatiert";Corner Bracket Series 77, 9U,;Equerre Sér77, 9U, alod,+ tr p;Corner Bracket Series 77, 9U,
90070000;90070000;Rückprofil B L=2700mm, elox.,;Rear Rail B Anodized,;Profilé arr. B, anod.,stk 2700mm;Rear Rail B Anodized,
90070100;90070100;Rückprofil B 84TE eloxiert;"Horizontal rear rail ""B"" 84HP,";Profilé arrière B, anodisé, 84;"Horizontal rear rail ""B"" 84HP,"
90070200;90070200;Rückprofil B 42TE eloxiert;Rear Rail B, Anodized, 42HP;"Profilé arrière ""B"", anodisé,";Rear Rail B, Anodized, 42HP
90070300;90070300;Rückprofil B 63TE eloxiert;Rear Rail B, Anodized, 63HP;Profilé arrière B, anodisé, 63;Rear Rail B, Anodized, 63HP
90074100;90074100;Rückprofil B 84TE chromatiert;"Horizontal rear Rail ""B"" 84HP,";Profilé arrière B, alodine, 84;"Horizontal rear Rail ""B"" 84HP,"
90074200;90074200;Rückprofil B 42TE chromatiert;Rear Rail B, Alodined, 42HP;Profilé arrière B, alodiné, 42;Rear Rail B, Alodined, 42HP
90074300;90074300;Rückprofil B 63TE, chromatiert;Horizontal rear Rail B, alodin;Profilé arrière B, alodiné, 63;Horizontal rear Rail B, alodin
90080000;90080000;Rückprofil C  L=2700mm, elox.,;Rear Rail C, Anodized, Stock L;Profilé arr. C, anod.,stk 2700mm;Rear Rail C, Anodized, Stock L
90080100;90080100;Rückprofil C 84TE eloxiert;Horizontal rear rail C 84HP, a;Profilé arrière C, anodisé, 84;Horizontal rear rail C 84HP, a
